Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
human_GO_bp_2025.gmt,Calcium-Ion Regulated Exocytosis (GO:0017156),1/5,0.29999627131960604,0.6915159365043801,4.511917467093561,5.432282004419637,MYH9
human_GO_bp_2025.gmt,Calcium-Mediated Signaling (GO:0019722),3/34,0.4179295328734895,0.7199817787864567,1.5039895200666904,1.312144290097482,FPR2;PLCG2;CCL3
human_GO_bp_2025.gmt,Camera-Type Eye Development (GO:0043010),1/9,0.4738667746712847,0.7267440362720797,2.3871555025425324,1.7827971069314716,SHROOM2
human_GO_bp_2025.gmt,Camera-Type Eye Morphogenesis (GO:0048593),1/4,0.2482218274225701,0.6725999495517755,5.801951516999543,8.084627616903795,SHROOM2
human_GO_bp_2025.gmt,Canonical NF-kappaB Signal Transduction (GO:0007249),2/14,0.2501660016445124,0.6725999495517755,2.70951871657754,3.754391976944623,BIRC2;TRIM8
human_GO_bp_2025.gmt,Carbohydrate Biosynthetic Process (GO:0016051),3/13,0.05522336550624813,0.6109842574255044,4.526973919256878,13.111787498938703,FUT3;FUT6;FUT5
human_GO_bp_2025.gmt,Carbohydrate Derivative Biosynthetic Process (GO:1901137),1/24,0.8199452605118346,0.8983190109576276,0.8613955811894003,0.17100226648878702,RRM1
human_GO_bp_2025.gmt,Carbohydrate Derivative Catabolic Process (GO:1901136),2/9,0.12341571831772508,0.6579351544822044,4.519429590017825,9.455536119984815,FBXO27;SAMHD1
human_GO_bp_2025.gmt,Carbohydrate Metabolic Process (GO:0005975),3/31,0.3607003816326081,0.7184682398373088,1.663093962129332,1.6958696076458708,FUT3;PCDHB16;FUT5
human_GO_bp_2025.gmt,Carboxylic Acid Biosynthetic Process (GO:0046394),1/9,0.4738667746712847,0.7267440362720797,2.3871555025425324,1.7827971069314716,CASP1
human_GO_bp_2025.gmt,Carboxylic Acid Metabolic Process (GO:0019752),1/14,0.6318848753615329,0.7939066382747465,1.5018380173129373,0.6894158292825293,CYP2J2
human_GO_bp_2025.gmt,Cardiac Conduction System Development (GO:0003161),1/5,0.29999627131960604,0.6915159365043801,4.511917467093561,5.432282004419637,GJA1
